ID,E(S1),E(T1),dST
ZINC000001513442,2.1717,1.337467325,0.834232675
ZINC000002539285,2.5238,1.681933666,0.841866334
ZINC000001701589,2.1099,1.255424966,0.854475034
ZINC000000133580,1.5359,0.673321504,0.862578496
ZINC000001724500,2.3908,1.517552344,0.873247656
ZINC000000308566,2.0874,1.210088059,0.877311941
ZINC000031623232,2.5885,1.697724439,0.890775561
ZINC000006451480,4.0186,3.127324108,0.891275892
ZINC000096900382,2.4896,1.597281734,0.892318266
ZINC000002026051,3.1074,2.210653811,0.896746189
ZINC000004975127,2.1547,1.257139284,0.897560716
ZINC000001382381,2.1997,1.296691048,0.903008952
ZINC000001704033,2.635,1.729953616,0.905046384
ZINC000044676404,1.719,0.812722764,0.906277236
ZINC000001713236,2.1305,1.222964492,0.907535508
ZINC000011660995,2.6592,1.749719974,0.909480026
ZINC000015080983,2.7093,1.798972601,0.910327399
ZINC000001701588,2.2005,1.286609226,0.913890774
ZINC000072284506,4.0308,3.116140224,0.914659776
ZINC000000397790,2.5871,1.670918493,0.916181507
ZINC000000303278,2.0218,1.102578555,0.919221445
ZINC000426388384,2.2779,1.343826628,0.934073372
ZINC000001673263,2.3756,1.43793452,0.93766548
ZINC000005161968,2.9036,1.962363428,0.941236572
ZINC000035323131,1.9552,1.012925168,0.942274832
ZINC000008512123,2.9132,1.970513241,0.942686759
ZINC000001736939,2.4039,1.460139019,0.943760981
ZINC000000406214,4.3885,3.440192576,0.948307424
ZINC000003173924,2.2662,1.310391986,0.955808014
ZINC000005463436,2.674,1.716712551,0.957287449
ZINC000005022788,2.5138,1.551240052,0.962559948
ZINC000000202792,2.9528,1.98376247,0.96903753
ZINC000071279857,2.4022,1.432353463,0.969846537
ZINC000001734691,2.5036,1.531264166,0.972335834
ZINC000000508057,2.0163,1.040084862,0.976215138
ZINC000034396246,2.1249,1.143888175,0.981011825
ZINC000001685949,2.5664,1.5805821,0.9858179
ZINC000034159980,2.2255,1.237342993,0.988157007
ZINC000104088315,4.4094,3.420445266,0.988954734
ZINC000008508915,1.5353,0.542295911,0.993004089
ZINC000002285370,1.9151,0.918972381,0.996127619
ZINC000001713235,2.3424,1.345189919,0.997210081
ZINC000003897849,2.4272,1.426013207,1.001186793
ZINC000254478156,2.125,1.122143548,1.002856452
ZINC000040385418,4.5411,3.535114089,1.005985911
ZINC000003223868,4.6169,3.610788981,1.006111019
ZINC000039337266,2.3391,1.3315815,1.0075185
ZINC000330032428,1.9843,0.969324348,1.014975652
ZINC000003132326,2.2878,1.265465971,1.022334029
ZINC000001564306,4.3185,3.29538169,1.02311831
ZINC000001636581,3.1614,2.134951707,1.026448293
ZINC000012322217,4.2631,3.233149227,1.029950773
ZINC000065743419,1.319,0.285093796,1.033906204
ZINC000072209505,2.1918,1.156370042,1.035429958
ZINC000037868947,2.1114,1.074741296,1.036658704
ZINC000001662321,4.2357,3.198824772,1.036875228
ZINC000000504397,4.6147,3.563305095,1.051394905
ZINC000002270150,2.4016,1.348243038,1.053356962
ZINC000003117656,2.8301,1.776400748,1.053699252
ZINC000017071200,3.1638,2.1055634,1.0582366
