ID,s1_delta_r
ZINC000027345742,0.958973
ZINC000004273477,0.959151
ZINC000226860078,0.960739
ZINC000104305092,0.962912
ZINC000080345964,0.96871
ZINC000022828684,0.969057
ZINC000003149586,0.970779
ZINC000004832806,0.972711
ZINC000004531805,0.974692
ZINC000255189843,0.975022
ZINC000065487761,0.97845
ZINC000042702894,0.983815
ZINC000002562052,0.984237
ZINC000001030399,0.984561
ZINC000002555621,0.985169
ZINC000004952695,0.986238
ZINC000002539285,0.98646
ZINC000104248674,0.988211
ZINC000001196615,0.989709
ZINC000062021842,0.991793
ZINC000004429418,0.992322
ZINC000001218039,0.992499
ZINC000001610186,0.99327
ZINC000068601390,0.996502
ZINC000000469901,0.997656
ZINC000059338784,1.000863
ZINC000005085567,1.002523
ZINC000001781783,1.007896
ZINC000012569664,1.009727
ZINC000095442857,1.011178
ZINC000035323903,1.011339
ZINC000000174153,1.013571
ZINC000005234122,1.017946
ZINC000072284129,1.02054
ZINC000005952711,1.020652
ZINC000521825346,1.021801
ZINC000000198353,1.021879
ZINC000007168347,1.024469
ZINC000252457546,1.026278
ZINC000001770327,1.026581
ZINC000001688998,1.02667
ZINC000023012762,1.029405
ZINC000000347534,1.029967
ZINC000000346937,1.031654
ZINC000067783950,1.033659
ZINC000007056844,1.035418
ZINC000013216788,1.037894
ZINC000010025490,1.038544
ZINC000075278496,1.039629
ZINC000005740246,1.040989
ZINC000045068546,1.041248
ZINC000001086636,1.042469
ZINC000000758779,1.043288
ZINC000058356868,1.043346
ZINC000005463436,1.049044
ZINC000036037562,1.049312
ZINC000031950987,1.051661
ZINC000001644356,1.052299
ZINC000408977907,1.052424
ZINC000096602104,1.053428
ZINC000003850320,1.053802
ZINC000100141140,1.054798
ZINC000001276131,1.057447
ZINC000001183757,1.057508
ZINC000002659132,1.057696
ZINC000408723503,1.05818
ZINC000005776381,1.05908
ZINC000002899993,1.060353
ZINC000001390322,1.061372
ZINC000006795608,1.062786
ZINC000064291265,1.063686
ZINC000016503659,1.064793
ZINC000032611915,1.065041
ZINC000004697557,1.067407
ZINC000072286797,1.068323
ZINC000003216737,1.074036
ZINC000075270682,1.074665
ZINC000008399221,1.076451
ZINC000005836845,1.077723
ZINC000071769651,1.079498
ZINC000009365342,1.083443
ZINC000033385035,1.083831
ZINC000029650115,1.084834
ZINC000018052089,1.0849
ZINC000065489020,1.085006
ZINC000004110338,1.087619
ZINC000001587193,1.087956
ZINC000078497487,1.088838
ZINC000170637959,1.089516
ZINC000098054545,1.092503
ZINC000825307197,1.092648
ZINC000000386672,1.093071
ZINC000003323088,1.093409
ZINC000252485420,1.094729
ZINC000003850788,1.094809
ZINC000009612693,1.104459
ZINC000004012253,1.104913
ZINC000097399207,1.105499
ZINC000065731484,1.106302
ZINC000006659190,1.1078
ZINC000032537128,1.113546
ZINC000005732240,1.115758
ZINC000096118472,1.117365
ZINC000040384381,1.117714
ZINC000029166251,1.12226
ZINC000225463192,1.126355
ZINC000100841055,1.127018
ZINC000001734691,1.127087
ZINC000067447854,1.128414
ZINC000001673362,1.129742
ZINC000003139482,1.130876
ZINC000004480027,1.131864
ZINC000001799973,1.134276
ZINC000002024418,1.134377
