ID,s1_delta_r
ZINC000015436146,1.900567
ZINC000000988096,1.9015
ZINC000031906029,1.904069
ZINC000040071197,1.904718
ZINC000004531824,1.904823
ZINC000081067656,1.905095
ZINC000000468547,1.905251
ZINC000006800431,1.905258
ZINC000015860636,1.905491
ZINC000002580774,1.906191
ZINC000083869498,1.906387
ZINC000095442232,1.908212
ZINC000017200482,1.909328
ZINC000001031913,1.909874
ZINC000006926886,1.910609
ZINC000254478156,1.910877
ZINC000005879557,1.911395
ZINC000001136062,1.912724
ZINC000000852703,1.913489
ZINC000000081954,1.914133
ZINC000005610812,1.914326
ZINC000001574798,1.914425
ZINC000095864912,1.91483
ZINC000009371725,1.915574
ZINC000000692700,1.916409
ZINC000018210134,1.917391
ZINC000408733086,1.918278
ZINC000016490120,1.919222
ZINC000098044805,1.920318
ZINC000012441308,1.921047
ZINC000017200481,1.922446
ZINC000046141268,1.922797
ZINC000000062970,1.923168
ZINC000028628413,1.924096
ZINC000017200479,1.924944
ZINC000104305034,1.925618
ZINC000100498768,1.928602
ZINC000015862623,1.929246
ZINC000076083363,1.932849
ZINC000034669759,1.933006
ZINC000019899353,1.933314
ZINC000000527824,1.933375
ZINC000012148361,1.933961
ZINC000005676419,1.935805
ZINC000005265813,1.937493
ZINC000040290794,1.938158
ZINC000020357720,1.939467
ZINC000095953709,1.939925
ZINC000012653031,1.940192
ZINC000040052437,1.940949
ZINC000102918553,1.942265
ZINC000058157377,1.942945
ZINC001506409064,1.943104
ZINC000100758310,1.943187
ZINC000096013519,1.94499
ZINC000004793464,1.945156
ZINC000001386317,1.94727
ZINC000040154817,1.947352
ZINC000006137829,1.948261
ZINC000000619577,1.949749
ZINC000083843744,1.951432
ZINC000097010678,1.951453
ZINC000032094634,1.951938
ZINC000040152937,1.954342
ZINC000006508954,1.954778
ZINC000089599223,1.95627
ZINC000001693792,1.957375
ZINC000585274516,1.957448
ZINC000032999150,1.95747
ZINC000006045742,1.959966
ZINC000045941161,1.961018
ZINC000002857742,1.961485
ZINC000028222989,1.96229
ZINC000000240417,1.963804
ZINC000032925829,1.963822
ZINC000019418480,1.964009
ZINC000101400298,1.964501
ZINC000409198064,1.964705
ZINC000006784596,1.964816
ZINC000426667593,1.965668
ZINC000067743011,1.965945
ZINC000062711112,1.966171
ZINC000005983947,1.967092
ZINC000035338917,1.968097
ZINC000015232219,1.968316
ZINC000005488053,1.969123
ZINC000008576293,1.970134
ZINC000021815173,1.97043
ZINC000225688119,1.970558
ZINC000002561847,1.970803
ZINC000012116927,1.97431
ZINC000000393058,1.976252
ZINC000019788080,1.97636
ZINC000001114347,1.979223
ZINC000084331718,1.979908
ZINC000101623308,1.979962
ZINC000005377963,1.980035
ZINC000033693235,1.983939
ZINC000017316341,1.984299
ZINC000019880621,1.985047
ZINC000009404661,1.986431
ZINC000006451480,1.988778
ZINC000015860655,1.988973
ZINC000002107583,1.989675
ZINC000170601692,1.990061
ZINC000606443795,1.990351
ZINC000004748756,1.990376
ZINC000000533937,1.992091
ZINC000002638408,1.993189
ZINC000003168027,1.993231
ZINC000000677974,1.993908
ZINC000004235224,1.994276
ZINC000000099007,1.996866
ZINC000016940803,1.998396
ZINC000016663525,1.999328
ZINC000003849341,1.999337
ZINC000025769325,1.999483
ZINC000009715104,1.999532
ZINC000006875160,1.999825
ZINC000000951148,2.000631
ZINC000011166924,2.000936
ZINC000033130221,2.001789
ZINC000000088108,2.002055
ZINC000012975080,2.003014
ZINC000006780854,2.003213
ZINC000000482317,2.005965
ZINC000002543428,2.006258
ZINC000408722689,2.006269
ZINC000001384611,2.006409
ZINC000000095312,2.007968
ZINC000072120008,2.011093
ZINC000002947545,2.012499
ZINC000003190299,2.013121
ZINC000252628363,2.013215
ZINC000001383533,2.014992
ZINC000005484014,2.017908
ZINC000006864992,2.019269
ZINC000003991783,2.019773
ZINC000012289024,2.020081
ZINC000000284148,2.021096
ZINC000017075713,2.021776
ZINC000015835356,2.0227
ZINC000205414271,2.023216
ZINC000000315937,2.023507
ZINC000066452208,2.023555
ZINC000000361350,2.025915
ZINC000064290799,2.026512
ZINC000005615578,2.026985
ZINC000000659564,2.02792
ZINC000015835369,2.030028
ZINC000150400604,2.030031
ZINC000017108142,2.030052
ZINC000150390153,2.030845
ZINC000003055271,2.032299
ZINC000390835304,2.033053
ZINC000952990676,2.033925
ZINC000014775976,2.03517
ZINC000016954341,2.036876
ZINC000004907844,2.037985
ZINC000408721755,2.03899
ZINC000001436631,2.039663
ZINC000057785731,2.040011
ZINC000008453610,2.040202
ZINC000025006859,2.041615
ZINC000104304704,2.041692
ZINC000044974136,2.042503
ZINC000045068511,2.043073
ZINC000001510546,2.043197
ZINC000008648315,2.043323
ZINC000215765881,2.043634
ZINC000004805763,2.043656
ZINC000002375698,2.044673
ZINC000008432142,2.044911
ZINC000032913160,2.045052
ZINC000003170865,2.047551
ZINC000012524252,2.047698
ZINC000032666244,2.04857
ZINC000009526082,2.048615
ZINC000000942394,2.049565
ZINC000000236231,2.050281
ZINC000032901419,2.05313
ZINC000005457418,2.055258
ZINC000000272634,2.056102
ZINC000033140036,2.056578
ZINC000052927032,2.057604
ZINC000004249107,2.058137
ZINC000004754869,2.060408
ZINC000005811869,2.060645
ZINC000003168565,2.062118
ZINC000005941387,2.062708
ZINC000020673631,2.063005
ZINC000071814839,2.064546
ZINC000051189812,2.064982
ZINC000065321031,2.066336
ZINC000002160838,2.06714
ZINC000952990598,2.068699
ZINC000102928057,2.070883
ZINC000000610675,2.071095
ZINC000004518051,2.071235
ZINC000004059122,2.072337
ZINC000008701958,2.073515
ZINC000952963643,2.074414
ZINC000227173802,2.075472
ZINC000064844692,2.076112
ZINC000078546311,2.076278
ZINC000078547152,2.079254
ZINC000001646455,2.079316
ZINC000002464291,2.079683
ZINC000001490199,2.079744
ZINC000065177954,2.07994
ZINC000000121981,2.081254
ZINC000001384616,2.081726
ZINC000004784620,2.081744
ZINC000071888470,2.082603
ZINC000390835397,2.08372
ZINC000003411171,2.083798
ZINC000000406774,2.084293
ZINC000001584497,2.084534
ZINC000952966245,2.085
ZINC000000994231,2.085642
ZINC000016682310,2.086049
ZINC000065337679,2.086802
ZINC000004797671,2.089635
ZINC000021110779,2.090642
ZINC000101094494,2.090985
ZINC000000535249,2.0928
ZINC000001756559,2.093271
ZINC000019506357,2.095442
ZINC000006863207,2.096363
ZINC000006425118,2.099167
ZINC000011535753,2.100467
ZINC000006205002,2.101304
ZINC000000609280,2.102819
ZINC000001404949,2.103312
ZINC000005726276,2.103878
ZINC000012528161,2.104304
ZINC000254624326,2.105206
ZINC000096400187,2.106046
ZINC000025692386,2.106603
ZINC000004693424,2.108951
ZINC000952965112,2.109277
ZINC000002077935,2.109494
ZINC000008299493,2.110043
ZINC000585138089,2.112532
ZINC000000984191,2.114386
ZINC000039136841,2.11462
ZINC000076068340,2.115087
ZINC000001052236,2.115122
ZINC000226818154,2.115961
ZINC000008427377,2.116157
ZINC000027755322,2.116624
ZINC000118199060,2.116759
ZINC000005663562,2.116876
ZINC000003086154,2.119446
ZINC000008131770,2.119747
ZINC000001234080,2.120208
ZINC000029108089,2.120579
ZINC000048310777,2.121653
ZINC000019714979,2.121922
ZINC000005314742,2.122571
ZINC000058574915,2.122789
ZINC000031161061,2.123167
ZINC000027934142,2.124923
ZINC000003554128,2.125298
ZINC000000370322,2.127035
ZINC000017744176,2.127402
ZINC000000047305,2.1275
ZINC000253432856,2.127907
ZINC000000469862,2.128425
ZINC000089941813,2.129296
ZINC000069485704,2.129831
ZINC000006270845,2.131679
ZINC000097399298,2.132063
ZINC000000189786,2.132397
ZINC000003073669,2.132604
ZINC000000167538,2.132858
ZINC000004148948,2.133068
ZINC000064787560,2.135674
ZINC000012674766,2.13598
ZINC000058201137,2.136118
ZINC000024103266,2.137268
ZINC000004522215,2.138787
ZINC000040050025,2.141059
ZINC000000041686,2.141595
ZINC000016968770,2.141609
ZINC000001692380,2.143677
ZINC000100292000,2.144838
ZINC000003065160,2.14505
ZINC000003894984,2.145597
ZINC000530157382,2.146129
ZINC000005537558,2.147346
ZINC000005769801,2.148126
ZINC000952976275,2.148577
ZINC000006191003,2.148663
ZINC000007587103,2.149228
ZINC000001920204,2.149782
ZINC000026539558,2.150718
ZINC000228948169,2.151329
ZINC000002659589,2.153676
ZINC000075170883,2.155241
ZINC000390835717,2.155329
ZINC000006589192,2.155472
ZINC000006583593,2.155922
ZINC000013602148,2.156785
ZINC000009926858,2.157665
ZINC000000418377,2.158526
ZINC000022137083,2.15959
ZINC000090614221,2.161571
ZINC000029166185,2.163307
ZINC000010382247,2.164798
ZINC000071882662,2.16487
ZINC000006661983,2.167533
ZINC000001430079,2.168363
ZINC000032647021,2.170943
ZINC000083817338,2.17123
ZINC000004034893,2.17176
ZINC000000400321,2.172514
ZINC000952965131,2.172819
ZINC000003097053,2.176152
ZINC000028751012,2.176742
ZINC000000267435,2.176913
ZINC000118198914,2.17697
ZINC000032125208,2.177651
ZINC000032902189,2.178766
ZINC000001623847,2.179617
ZINC000005338308,2.180618
ZINC000097996070,2.182643
ZINC000072408126,2.184312
ZINC000048354465,2.187132
ZINC000255691068,2.187722
ZINC000011691469,2.188061
ZINC000020034354,2.1884
ZINC000001612773,2.189783
ZINC000021210130,2.189853
ZINC000096164333,2.190206
ZINC000040555799,2.190231
ZINC000003631268,2.191333
ZINC000034049514,2.191578
ZINC000000066381,2.191663
ZINC000575443231,2.191972
ZINC000001763904,2.192937
ZINC000390835195,2.193835
ZINC000014727216,2.194036
ZINC000254482267,2.194215
ZINC000008512123,2.194628
ZINC000000677783,2.195798
ZINC000007047526,2.196098
ZINC000000081922,2.196205
ZINC000002597831,2.196294
ZINC000952970911,2.196907
ZINC000223312025,2.202478
ZINC000012523899,2.203471
ZINC000252622409,2.205314
ZINC000069349112,2.205518
ZINC000000711821,2.206068
ZINC000001401981,2.208066
ZINC000038677569,2.209403
ZINC000002026051,2.211126
ZINC000100116876,2.21168
ZINC000033355527,2.212532
ZINC000006575377,2.213485
ZINC000005799947,2.213696
ZINC000000193167,2.214997
ZINC000012485198,2.217074
ZINC000001770093,2.21751
ZINC000001699284,2.218045
ZINC000004028807,2.219549
ZINC000015083008,2.21995
ZINC000000852696,2.221163
ZINC000070856861,2.221245
ZINC000014404747,2.223173
ZINC000068151479,2.224383
ZINC000046366716,2.22491
ZINC000040386888,2.224975
ZINC000066088284,2.227029
ZINC000065116493,2.227085
ZINC000096467383,2.227234
ZINC000001393709,2.227292
ZINC000060297810,2.227865
ZINC000006939439,2.228116
ZINC000009678734,2.229393
ZINC000065547599,2.230184
ZINC000034472177,2.231883
ZINC000001644360,2.232795
ZINC000067773034,2.233007
ZINC000000478315,2.233529
ZINC000012433001,2.234589
ZINC000023173221,2.23547
ZINC000046058077,2.237423
ZINC000001572316,2.238073
ZINC000033336066,2.238264
ZINC000034526983,2.238776
ZINC000017221845,2.240757
ZINC000005205313,2.240778
ZINC000058310109,2.242197
ZINC000003348867,2.242285
ZINC000016608354,2.242536
ZINC000000133139,2.24342
ZINC000000092211,2.244109
ZINC000058542129,2.245404
ZINC000046009367,2.245426
ZINC000006262354,2.246932
ZINC000005792527,2.247893
ZINC000005534724,2.249279
ZINC000009206718,2.249373
ZINC000000615326,2.252391
ZINC000002077705,2.254184
ZINC000023544161,2.2545
ZINC000015232255,2.254645
ZINC000006553004,2.255172
ZINC000096098009,2.255601
ZINC000001638206,2.255765
ZINC000100909358,2.255967
ZINC000000096648,2.256145
ZINC000000350007,2.256595
ZINC000104303395,2.25685
ZINC000001652335,2.257135
ZINC000036833114,2.257209
ZINC000008870469,2.257689
ZINC000005231370,2.258233
ZINC000008715160,2.25869
ZINC000000636228,2.259095
ZINC000031812626,2.25937
ZINC000033085823,2.261836
ZINC000012401254,2.261877
ZINC000005817140,2.264166
ZINC000032565488,2.264411
ZINC000003878248,2.265264
ZINC000568648525,2.26561
ZINC000013593211,2.267103
ZINC000006626432,2.267996
ZINC000011660995,2.26804
ZINC000006315297,2.268496
ZINC000072280928,2.268523
ZINC000408553298,2.268644
ZINC000005829990,2.26939
ZINC000000640483,2.269499
ZINC000101444512,2.271759
ZINC000001700572,2.272302
ZINC000254591315,2.27234
ZINC000005260084,2.274107
ZINC000064328539,2.275205
ZINC000052525847,2.275408
ZINC000005678245,2.278761
ZINC000032754774,2.27877
ZINC000012559638,2.279331
ZINC000004194477,2.280562
ZINC000008665182,2.286016
ZINC000018252286,2.286236
ZINC000001640472,2.286365
ZINC000012848436,2.288112
ZINC000032610443,2.289913
ZINC000018130426,2.290541
ZINC000069895318,2.291509
ZINC000014899732,2.291891
ZINC000002756079,2.292976
ZINC000000984075,2.293056
ZINC000000631320,2.294185
ZINC000071336615,2.294934
ZINC000002366236,2.294945
ZINC000033299366,2.295387
ZINC000000174513,2.296819
ZINC000005315084,2.296988
ZINC000032935158,2.298178
ZINC000033258052,2.300001
ZINC000016925262,2.300489
ZINC000005884229,2.301576
ZINC000009434123,2.301788
ZINC000065297407,2.302085
ZINC000003329583,2.302327
ZINC000001557737,2.302994
ZINC000064312574,2.30421
ZINC000013281548,2.304764
ZINC000004134632,2.305864
ZINC000034669638,2.307225
ZINC000007000210,2.307782
ZINC000003359121,2.308279
ZINC000001741663,2.308448
ZINC000098002765,2.312054
ZINC000254382364,2.312931
ZINC000012858926,2.312966
ZINC000097085062,2.313076
ZINC000005372104,2.313661
ZINC000039489696,2.313898
ZINC000020652828,2.315692
ZINC000000406802,2.317411
ZINC000024985874,2.318137
ZINC000003157440,2.319111
ZINC000053756928,2.322614
ZINC000009087093,2.323434
ZINC000012143806,2.323809
ZINC000031959704,2.324755
ZINC000065084213,2.325991
ZINC000002997957,2.329798
ZINC000012533916,2.330037
ZINC000328596131,2.330907
ZINC000040512300,2.332095
ZINC000003340773,2.332811
ZINC000952987730,2.333625
ZINC000015963730,2.333665
ZINC000004281925,2.334599
ZINC000000284396,2.334997
ZINC000000319679,2.335243
ZINC000096097990,2.33633
ZINC000008870497,2.336981
ZINC000033277044,2.337803
ZINC000075258570,2.338081
ZINC000008399270,2.338623
ZINC000008445568,2.338779
ZINC000043939713,2.339319
ZINC000002379607,2.339382
ZINC000012795045,2.341483
ZINC000002678148,2.34235
ZINC000000189179,2.342563
ZINC000222590259,2.34327
ZINC000017077589,2.345432
ZINC000056900980,2.346298
ZINC000005789540,2.348631
ZINC000001803013,2.35124
ZINC000017147667,2.352222
ZINC000000936720,2.353717
ZINC000005031841,2.354247
ZINC000408514822,2.355301
ZINC000032902326,2.355446
ZINC000005919200,2.355703
ZINC000013347403,2.356028
ZINC000012525799,2.361873
ZINC000100110203,2.363262
ZINC000095516376,2.363764
ZINC000016489475,2.365055
ZINC000007343462,2.369201
ZINC000013797050,2.369284
ZINC000048272919,2.369785
ZINC000012521234,2.370232
ZINC000077024391,2.371412
ZINC000016940067,2.371894
ZINC000013555601,2.372981
ZINC000032624444,2.373352
ZINC000006927878,2.373705
ZINC000035683053,2.375198
ZINC000009255843,2.375936
ZINC000032285627,2.377046
ZINC001569985952,2.377676
ZINC000006694482,2.378006
ZINC000072482091,2.379203
ZINC000000418233,2.379353
ZINC000034926652,2.37973
ZINC000254863117,2.379752
ZINC000001027069,2.379763
ZINC000000051009,2.380961
ZINC000052508016,2.382679
ZINC000001390329,2.383602
ZINC000005451376,2.383829
ZINC000019481733,2.384454
ZINC000225415091,2.384612
ZINC000001029583,2.385923
ZINC000000157585,2.386626
ZINC000044871023,2.38685
ZINC000015780198,2.387069
ZINC000037133027,2.389782
ZINC000005268114,2.392412
ZINC000016084855,2.393823
ZINC000000050663,2.394317
ZINC000100048114,2.395012
ZINC000033924135,2.396524
ZINC000000135464,2.397037
ZINC000100222973,2.398506
ZINC000390834659,2.398932
ZINC000077024409,2.399115
ZINC000001714321,2.399523
ZINC000000801004,2.399984
ZINC000065215305,2.400841
ZINC000225918022,2.400975
ZINC000032916133,2.401229
ZINC000002116636,2.401632
ZINC000004190281,2.401864
ZINC000007587173,2.404576
ZINC000001396555,2.404879
ZINC000225501976,2.408721
ZINC000005566293,2.409891
ZINC000952962186,2.411634
ZINC000001859321,2.411711
ZINC000095448217,2.412204
ZINC000012919492,2.41241
ZINC000101455214,2.412497
ZINC000035188678,2.412795
ZINC000000193160,2.413099
ZINC000005725060,2.413493
ZINC000010502068,2.414415
ZINC000001764952,2.414528
ZINC000089986902,2.415219
ZINC000032915376,2.415297
ZINC000007783559,2.416172
ZINC000000127669,2.418928
ZINC000036378515,2.420918
ZINC000000174010,2.420921
ZINC000038678699,2.423115
ZINC000225625714,2.424442
ZINC000048345132,2.424476
ZINC000000716775,2.425201
ZINC000028404077,2.425622
ZINC000002643396,2.426094
ZINC000002658095,2.426394
ZINC000055371083,2.426644
ZINC000006446748,2.427334
ZINC000036559044,2.427831
ZINC000010512218,2.428145
ZINC000009348377,2.428648
ZINC000027750446,2.430727
ZINC000056656575,2.431244
ZINC000067755018,2.432253
ZINC000003404016,2.434181
ZINC000065514627,2.434541
ZINC001505840612,2.435259
ZINC000000816413,2.435632
ZINC000101513904,2.437752
ZINC000003911248,2.439732
ZINC000001209034,2.440408
ZINC000001618079,2.443165
ZINC000101405218,2.443922
ZINC000000127641,2.444255
ZINC000095962064,2.444256
ZINC000028047680,2.44449
ZINC000048302546,2.44641
ZINC000004671290,2.447369
ZINC000005831001,2.447717
ZINC000004553638,2.448766
ZINC000003276886,2.449478
ZINC000100822891,2.449492
ZINC000002654037,2.454348
ZINC000001066859,2.455798
ZINC000069771350,2.457081
ZINC000328596659,2.458349
ZINC000005451523,2.459554
ZINC000036333816,2.460678
ZINC000008725697,2.460821
ZINC000005560060,2.460936
ZINC000064844559,2.46095
ZINC000002879123,2.46111
ZINC000036837285,2.461151
ZINC000952978593,2.4612
ZINC000021821015,2.464231
ZINC000100223095,2.467582
ZINC000001237984,2.469005
ZINC000000344372,2.470102
ZINC000575443643,2.471124
ZINC000084114828,2.471303
ZINC000016739877,2.471583
ZINC000000531379,2.473379
ZINC000004107201,2.4736
ZINC000069322743,2.474016
ZINC000010034844,2.474081
ZINC000575613792,2.47581
ZINC000035178543,2.476296
ZINC000055341455,2.47683
ZINC000004803768,2.479541
ZINC000013729722,2.481573
ZINC000089291962,2.483407
ZINC000006441078,2.483433
ZINC000070653065,2.485493
ZINC000008611353,2.486172
ZINC000012523975,2.486614
ZINC000016776941,2.487859
ZINC000007045440,2.487868
ZINC000888090407,2.489366
ZINC000001752717,2.489385
ZINC000007277647,2.489801
ZINC000002655259,2.490347
ZINC000005610811,2.493434
ZINC001506399697,2.494251
ZINC000033575628,2.494793
ZINC000104215151,2.494815
ZINC000005635573,2.495799
ZINC000006146432,2.495821
ZINC000065115079,2.495911
ZINC000104646888,2.497087
ZINC000000433733,2.501042
ZINC000607858770,2.501884
ZINC000000472794,2.502545
ZINC000098002236,2.502568
ZINC000004798101,2.503078
ZINC000015829556,2.503327
ZINC000008399381,2.504266
ZINC000003404733,2.50491
ZINC000071856856,2.50539
ZINC000003998798,2.508627
ZINC000007996467,2.509809
ZINC000018199251,2.509928
ZINC000000233218,2.510533
ZINC000066324817,2.510682
ZINC000252492554,2.511397
ZINC000254856006,2.514506
ZINC000000268739,2.514909
ZINC000013348641,2.515195
ZINC000006476133,2.516176
ZINC000015870145,2.516191
ZINC000104202007,2.516595
ZINC000008751641,2.517185
ZINC000071772519,2.517215
ZINC000097162577,2.518477
ZINC000006203162,2.51868
ZINC000001588525,2.520298
ZINC000000070129,2.520568
ZINC000016850257,2.522424
ZINC000013205169,2.523208
ZINC000100936268,2.523548
ZINC000298619632,2.525746
ZINC000005482694,2.526656
ZINC000408721452,2.527344
ZINC000006454787,2.527589
ZINC000083843741,2.527836
ZINC000252458404,2.528574
ZINC000000992699,2.528935
ZINC000044226730,2.529624
ZINC000016598859,2.529712
ZINC000005261100,2.529791
ZINC000135645078,2.529864
ZINC000254556251,2.531705
ZINC000002813971,2.532823
ZINC000006685095,2.534432
ZINC000409195984,2.541057
ZINC000100313834,2.541566
ZINC000057906916,2.542978
ZINC000002987052,2.543142
ZINC000001393812,2.543226
ZINC000001422515,2.543401
ZINC000001655608,2.543422
ZINC000010274582,2.543566
ZINC000100842131,2.54413
ZINC000034926688,2.544859
ZINC000100446073,2.545518
ZINC000004472618,2.547184
ZINC000005751786,2.550546
ZINC000002597360,2.550732
ZINC000003270810,2.551305
ZINC000001399146,2.55136
ZINC000027995585,2.551639
ZINC000071915102,2.552679
ZINC000002885487,2.553265
ZINC000005346795,2.553414
ZINC000013148381,2.554471
ZINC000058305140,2.555339
ZINC000004362001,2.556685
ZINC000090614217,2.556908
ZINC000032099691,2.558646
ZINC000100286275,2.56046
ZINC000254397855,2.561145
ZINC000016663422,2.561583
ZINC000103711105,2.562256
ZINC000016525555,2.562482
ZINC000005181934,2.562736
ZINC000066014788,2.562997
ZINC000096319145,2.563004
ZINC000007785628,2.563895
ZINC000096404855,2.56437
ZINC001506406400,2.564675
ZINC000003216635,2.567026
ZINC000001650727,2.567134
ZINC000261494946,2.56788
ZINC000022894179,2.569312
ZINC000008715805,2.571062
ZINC000000476183,2.571243
ZINC000075427967,2.571368
ZINC000008618247,2.571904
ZINC000004809805,2.575158
ZINC000056635569,2.57761
ZINC000100290948,2.577735
ZINC000006204391,2.578211
ZINC000009321333,2.578954
ZINC000000645233,2.579233
ZINC000016951548,2.580779
ZINC000014169305,2.580879
ZINC000003086161,2.581155
ZINC000071279857,2.582044
ZINC000006446352,2.583597
ZINC000008508915,2.585042
ZINC000575410945,2.585478
ZINC000095991397,2.588857
ZINC000328596699,2.590833
ZINC000004104960,2.593393
ZINC000035596793,2.596594
ZINC000033173721,2.598842
ZINC000000610086,2.60019
ZINC000000117089,2.601133
ZINC000000055235,2.602351
ZINC000004771084,2.60384
ZINC000008605158,2.605802
ZINC000103951371,2.60768
ZINC000000099010,2.608095
ZINC000009636275,2.610408
ZINC000003161582,2.610629
ZINC000001158646,2.612764
ZINC000000366671,2.614113
ZINC000017126926,2.615223
ZINC000033007623,2.6174
ZINC000006896715,2.617602
ZINC000170621311,2.619175
ZINC000109566457,2.619364
ZINC000002381305,2.619506
ZINC000075250087,2.6209
ZINC000408735722,2.621462
ZINC000000150712,2.622036
ZINC000006560519,2.622127
ZINC000007006106,2.622813
ZINC000012536027,2.626093
ZINC000001652337,2.627259
ZINC000059294596,2.628461
ZINC000012375281,2.630367
ZINC000021210081,2.630785
ZINC000225639983,2.631355
ZINC000058573607,2.631427
ZINC000013555276,2.631466
ZINC000409328305,2.632124
ZINC000000149255,2.632147
ZINC000030608433,2.632597
ZINC000004455999,2.634111
ZINC000009670372,2.638636
ZINC000253531353,2.639763
ZINC000000081958,2.640446
ZINC000036379949,2.640753
ZINC000606347654,2.643307
ZINC000003254122,2.643406
ZINC000097146000,2.643509
ZINC000001644228,2.643522
ZINC000008612292,2.644751
ZINC000001403869,2.645069
ZINC000023258591,2.645125
ZINC000095396857,2.645486
ZINC000096562336,2.649717
ZINC000013127788,2.649725
ZINC000074630551,2.653081
ZINC000003094460,2.654491
ZINC000000186770,2.655122
ZINC000000477125,2.657286
ZINC000225398578,2.657988
ZINC000020490019,2.659342
ZINC000033125804,2.660514
ZINC000000407673,2.663056
ZINC000000148587,2.666258
ZINC000039929358,2.66634
ZINC000408622896,2.669257
ZINC000000610160,2.670757
ZINC000072437797,2.670922
ZINC000000221908,2.671535
ZINC000031548024,2.67169
ZINC000013730199,2.67583
ZINC000000722005,2.678516
ZINC000009377910,2.680122
ZINC000059522925,2.680388
ZINC000008399282,2.681081
ZINC000059824107,2.681446
ZINC000004743424,2.682811
ZINC000020560468,2.685106
ZINC000004276011,2.685348
ZINC000024983868,2.690078
ZINC000044122674,2.691421
ZINC000026268567,2.692047
ZINC000016890257,2.692543
ZINC000073634107,2.693547
ZINC000330824312,2.696729
ZINC000001112892,2.696966
ZINC000016490042,2.69729
ZINC000035323599,2.697338
ZINC000006154596,2.697421
ZINC000069127434,2.698188
ZINC000013602960,2.699728
ZINC000075518810,2.699764
ZINC000045096310,2.700019
ZINC000009421788,2.701026
ZINC000001724498,2.701395
ZINC000017380345,2.702256
ZINC000001789183,2.704603
ZINC000064819828,2.706071
ZINC000004195301,2.70643
ZINC000000236119,2.707428
ZINC000019508322,2.708088
ZINC000000390650,2.709643
ZINC000261494961,2.712562
ZINC000075287011,2.713262
ZINC000012601603,2.715345
ZINC000003418491,2.717192
ZINC000006140175,2.717268
ZINC000005819318,2.718128
ZINC000006210549,2.718705
ZINC000102942050,2.718776
ZINC000003847923,2.720158
ZINC000001386551,2.724434
ZINC000013477488,2.727194
ZINC000006998586,2.728221
ZINC000026780077,2.72847
ZINC000002240603,2.731346
ZINC000005347996,2.732967
ZINC000002802603,2.73474
ZINC000013219740,2.736124
ZINC000004915403,2.737382
ZINC000005589593,2.738706
ZINC000004174005,2.740008
ZINC000104311694,2.742291
ZINC000254824429,2.742383
ZINC000009062091,2.743059
ZINC000077198777,2.743258
ZINC000003215380,2.74326
ZINC000019470977,2.743329
ZINC000002353882,2.743757
ZINC000024743819,2.743887
ZINC000001644225,2.743916
ZINC000015232302,2.745409
ZINC000012527873,2.745844
ZINC000002999137,2.747446
ZINC000001918389,2.751068
ZINC000001082213,2.751543
ZINC000003088261,2.751712
ZINC000004771723,2.753164
ZINC000013141549,2.756355
ZINC000170618515,2.756893
ZINC000072332474,2.758134
ZINC000055590980,2.758895
ZINC000225878289,2.759553
ZINC000001732099,2.760069
ZINC000000713377,2.764278
ZINC000003264257,2.764313
ZINC000009439892,2.767149
ZINC000000111731,2.768816
ZINC000048277125,2.770061
ZINC000002793567,2.775282
ZINC000003852453,2.778019
ZINC000020937438,2.779404
ZINC000072303665,2.779922
ZINC000057315940,2.780216
ZINC000000384182,2.782393
ZINC000001154550,2.784635
ZINC000104304203,2.785391
ZINC000009356329,2.786823
ZINC000077299164,2.788079
ZINC000082039529,2.788332
ZINC000024924443,2.788529
ZINC000003335800,2.789668
ZINC000225447907,2.790449
ZINC000001644230,2.791016
ZINC000017079522,2.79235
ZINC000254343257,2.792719
ZINC000027931612,2.794658
ZINC000097983805,2.795433
ZINC000000558148,2.796362
ZINC000073634109,2.79784
ZINC000017314134,2.799262
ZINC000006653619,2.799389
ZINC000033005457,2.805001
ZINC000001398132,2.805696
ZINC000408621736,2.806622
ZINC000008883211,2.806763
ZINC000001210122,2.808732
ZINC000008444788,2.809257
ZINC000008416697,2.810771
ZINC000000825409,2.816817
ZINC000015022129,2.817252
ZINC000003845279,2.817508
ZINC000003296323,2.818644
ZINC000085471896,2.821191
ZINC000012811925,2.821733
ZINC000005239318,2.822903
ZINC000066803416,2.823805
ZINC000000149479,2.823887
ZINC000009208020,2.824325
ZINC000003051914,2.827457
ZINC000018194209,2.829475
ZINC000084460077,2.832802
ZINC000000110443,2.834236
ZINC000003852644,2.837838
ZINC000013482838,2.839147
ZINC000006636282,2.839753
ZINC000020156313,2.841253
ZINC000008691212,2.844697
ZINC000000319732,2.84546
ZINC000032929302,2.845875
ZINC000033353943,2.846657
ZINC000006402209,2.848304
ZINC000015251627,2.849567
ZINC000254845282,2.849689
ZINC000009482532,2.850052
ZINC000012624123,2.853189
ZINC000015867531,2.853398
ZINC000019723029,2.853531
ZINC000103888415,2.854714
ZINC000004798008,2.856844
ZINC000254344656,2.858255
ZINC000084013687,2.858764
ZINC000003122430,2.860872
ZINC000008985808,2.864026
ZINC000002858499,2.864584
ZINC000004563701,2.864967
ZINC000000329495,2.866748
ZINC000096306350,2.868324
ZINC000000170672,2.87135
ZINC000003771166,2.871947
ZINC000009971179,2.872701
ZINC000015331356,2.87507
ZINC000226323046,2.878342
ZINC000102960240,2.878548
