ID,SMILES,E(S1),E(T1)
ZINC000011164859,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2nc(CN3CCCCC3)nc3ccccc32)cc1,3.38070002,3.29230002
ZINC000011166924,CN(C)S(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)C(=O)c2ccccc2-3)cc1,3.236700019,2.790900017
ZINC000011361361,Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)Nc1cccc(NC(=O)c2ccco2)c1,3.31120002,2.878400017
ZINC000011362953,Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)Nc1ccc(NS(C)(=O)=O)cc1,3.32140002,2.886900017
ZINC000011526859,Cc1nn(-c2ccccc2)c(C)c1C(=O)C(=O)Nc1ccc(NC(=O)c2ccco2)cc1,3.31250002,2.879300017
ZINC000000359640,Cc1cc(C)nc(NC(=S)NC(=O)c2cc3ccccc3o2)n1,2.924500017,2.690300016
ZINC000011535753,O=C1C=CC(=O)N1c1ccccn1,3.514900021,3.099300019
ZINC000011549126,C(=N/N=C\c1ccncc1)\c1ccncc1,3.617300022,3.204700019
ZINC000011565657,N#Cc1c2ccccc2sc1N1C(=O)c2ccc(C(=O)O)cc2C1=O,3.663800022,3.31730002
ZINC000000359641,O=C(NC(=S)/N=C1/NCCS1)c1cccc2ccccc21,2.804100017,2.562000015
ZINC000011615802,Cc1cc(C)c(S(=O)(=O)NC2=CC(=S)C(=O)c3ccccc32)c(C)c1,1.385400008,1.016100006
ZINC000011657526,COc1ccc(NC(C)=O)cc1NC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,3.38540002,2.930000018
ZINC000011660995,O=C(NC1=NCCS1)c1ccc2c(c1)C(=O)c1ccccc1-2,3.229100019,2.782600017
ZINC000011666334,CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2nc3nc(C)cc(C)c3s2)cc1,4.234800025,3.771800023
ZINC000000360347,O=C1NC(=O)c2cc(Oc3ccccc3)ccc21,4.066500024,3.641100022
ZINC000011667648,Cn1c2ccccc2s/c1=N/C(=S)NC(=O)c1ccc(C(=O)c2ccccc2)cc1,3.227400019,2.875200017
ZINC000011691469,Cc1cc(OS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)n(C(N)=S)n1,3.608200022,3.183200019
ZINC000011691665,Cc1ccc(N2N[C@@H](C)C=C2OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,3.870000023,3.619800022
ZINC000000360608,CC1=CC(C)(C)N(C(N)=S)c2ccccc21,3.528000021,3.125300019
ZINC000011693214,Cc1cc(C(=O)Nc2ccc3c(c2)C(=O)c2ccccc2C3=O)on1,3.197000019,2.772500017
ZINC000011693815,CC(=O)c1ccc(C(=O)Nc2nnc(-c3cc(C)n(C)n3)o2)cc1,3.594100022,3.115000019
ZINC000011694970,Cc1cc(C)c2c(NC(=O)C(=O)c3ccccc3)noc2n1,3.024800018,2.599600016
ZINC000011696323,CC(=O)c1ccc(S(=O)(=O)Nc2cccc(-c3csc4nc(C)cc(=O)n34)c2)cc1,3.620900022,3.144500019
ZINC000000361350,O=C(c1ccccc1)N1C(=O)c2ccccc2C1=O,4.010100024,3.573400021
ZINC000011852718,O=C(NC(=S)Nc1ccc(Br)cc1C(=O)c1ccccc1)c1cc(Cl)sc1Cl,3.36620002,2.903400017
ZINC000011865631,COc1ccc2cc(-c3cc(=O)oc4cc(OCc5ccc([N+](=O)[O-])cc5)ccc43)c(=O)oc2c1,3.38160002,2.914500017
ZINC000011868067,O=C(/C=C/c1ccccc1Cl)c1ccc(OC(=O)c2ccccc2)cc1,3.442800021,2.959800018
ZINC000011917648,CSc1ncc(Sc2ccc(C)cc2)c(C(=O)Nc2ccc(Cl)cc2)n1,3.457100021,3.175400019
ZINC000011990492,CC(=O)Nc1ccc(-n2c(C)cc(O)c(C(C)=O)c2=O)cc1,3.524300021,3.079100018
