ID,SMILES,E(S1),E(T1)
TUCTAN,CCCCc1[n+](cc2ccccc2c1Br)[C-](C(=O)OC)C(=NS(=O)(=O)c1ccc(C)cc1)C(=O)OC,2.635300016,2.547300015
TUDGAB,CC(C)CC(O)=CC(=O)C=C(O)c1ccc(cc1)C(O)=CC(=O)C=C(O)CC(C)C,2.680700016,2.306300014
TUFBUS,O=S(=O)([O-])c1ccccc1[I+]c1ccccc1,4.101100025,3.976000024
TUFCAZ,Cc1cc(C)c([I+]c2ccccc2S(=O)(=O)[O-])c(C)c1,3.904200023,3.810900023
TUFCED,Clc1ccc([I+]c2ccccc2S(=O)(=O)[O-])cc1,4.056000024,3.928300024
TUFCIH,COc1ccc([I+]c2ccccc2S(=O)(=O)[O-])cc1,3.950700024,3.827000023
TUFTAQ,CCOP(=O)(OCC)C(=C1C(=O)c2cccc3cccc1c23)S(C)=O,2.899400017,2.509000015
TUFWAS,S1C=CC=C1C1=C(SC(S1)=C1SC(=C(S1)C1=CC=CS1)C1=CC=CS1)C1=CC=CS1,2.677200016,2.344800014
TUGGUZ,CC(C=O)=CCC1=C(O)C(=O)c2ccccc2C1=O,3.090300018,2.688600016
TUGHIM,CC1(C)OCC2(CO1)CC1=C(C2)C(C2C(C1)C(=O)C=CC2=O)[Si](C)(C)C,3.201500019,2.784100017
TUGJOV,CCCCc1c(CCCC)c(C=O)c(O)c(O)c1C=O,3.061200018,2.618000016
TUGMEO,COc1cc2C3c4ccccc4C(c2cc1OC)C1=C3C(=O)C2=C(C3c4ccccc4C2c2cc(OC)c(OC)cc32)C1=O,2.573400015,2.193100013
TUGYAV,CN1Cc2ccc3ccccc3c2c2c(CN(C)C(=O)N=NC1=O)ccc1ccccc21,3.41870002,3.31410002
TUGZAW,CCC(C)C(OC(C)=O)C(C)C1=CC(=O)C2=C(OC3(C)CCC4OC(CCC4(C)C3C2O)C(C)(C)O)C1=O,2.805400017,2.379300014
TUHDUV,C1CSC2=C(O1)SC(S2)=C1SC2=C(SCCS2)S1,2.907200017,2.693500016
TUJFAF,C[Si](C)(C)[C-]1[P+]([P-][P+]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,3.014400018,2.797700017
TUJFEJ01,C[Si](C)(C)[C-]1[P+]([As-][P+]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,2.780900017,2.448100015
TUJNUJ,Cc1ccc(SNSN)cc1,3.665600022,3.29680002
TUJSOJ,CC(C)(C)P(P=P(CP(CP(=PP(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C)c1ccccc1)(C(C)(C)C)C(C)(C)C)C(C)(C)C,3.781400023,3.574600021
TUJWIF,CC(C)OP(=O)(NC(=S)c1ccc2OCCOCCOCCOCCOc2c1)OC(C)C,2.800500017,2.441900015
TUKBUW,O=C([N-][N+]1=C(N(N=C1c1ccccc1)c1ccc(cc1)N(=O)=O)c1ccccc1)c1ccccc1,3.853300023,3.547100021
TUKDAF,Clc1ccc(Cl)c(NC(=S)NC(=O)c2ccccc2)c1,3.445100021,3.070100018
TUKGIS,Cc1ccccc1P(c1ccccc1C)c1c(F)c(F)c(F)c2OC(=CC(=O)c12)c1ccccc1,3.31460002,2.919700017
TUKJUF,CC(=C1SC(=S)N(C1=O)c1ccccc1)c1ccccc1,3.043500018,2.608300016
TUKXEF,Brc1ccc(cc1)c1cc(nc(n1)N1c2ccccc2c2ccccc12)c1ccc(Br)cc1,3.782300023,3.33650002
TUKXIJ,Brc1cccc(c1)c1cc(nc(n1)N1c2ccccc2c2ccccc12)c1cccc(Br)c1,3.818400023,3.41070002
TUKYEG,Cc1cc(C)c(P(C(=O)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,3.110000019,2.610900016
TUKZAD,Brc1cccc(c1)c1cc(nc(n1)N1c2ccccc2c2ccccc12)c1cccc(Br)c1,3.830500023,3.34660002
TULKIX,O=C1OC2(C=CC(=O)C=C2)C(=C1[Se]c1ccccc1)c1ccccc1,3.156100019,2.703900016
TULRUN,CCCCOC(=O)C=CC(=O)C(Cc1ccccc1)N(Cc1ccccc1)Cc1ccccc1,3.467800021,3.074900018
TULVEE,FB1(F)N2c3ccc4ccc5ccccc5c4c3c3c2c(cc2ccc4ccccc4c32)C2=N1c1ccccc1S2,2.791900017,2.340800014
TULVUR,CNC(=S)C(=O)c1ccc(OC)cc1,3.29690002,2.969800018
TUMSIG,CC(C)C=C1NC(=[Se])N(C2CC2)C1=O,3.029200018,2.640400016
TUMSOK,COc1ccc(cc1OC)C1c2ccccc2NC(=S)c2cc(OC)c(OC)cc12,3.016500018,2.610800016
TUNQAV,Cc1ccc(cc1)C(N)=S,2.938700018,2.586500015
TUNTIH,CC(C)(C)C1=CC(=C(C=NN=CC2=C(C=C(C(=O)C2=O)C(C)(C)C)C(C)(C)C)C(=O)C1=O)C(C)(C)C,2.084200012,1.72040001
TUNTON,CC(C)(C)c1cc(c(C=NN=Cc2c(O)c(O)c(cc2C(C)(C)C)C(C)(C)C)c(O)c1O)C(C)(C)C,2.886000017,2.592000016
TUPKEV,COc1cc(ccc1O)C=C1CN2CC3(C(CN(C)C43C(=O)c3ccccc3C24O)c2ccc(O)c(OC)c2)C1=O,3.091700018,2.800600017
TUPKUK,Cc1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1,2.614000016,2.203000013
TUPMEX,Cc1c(CSC(=S)c2ccccc2)c(C)c(CSC(=S)c2ccccc2)c(C)c1CSC(=S)c1ccccc1,2.498600015,2.165400013
TUPSIH,CCCCCCCCCCCCCCN1C(=O)C(=O)c2ccccc12,2.722800016,2.314200014
TUPSON,CCCCCCCCCCN1C(=O)C(=O)c2ccccc12,2.716500016,2.308800014
TUPVOP01,CC(C)C(=O)c1c(O)c(CC2=C(O)C(C)(C)C(=C(C(=O)C(C)C)C2=O)O)c2OC(C)(C)C3CC(C)(C)CC3c2c1O,3.232200019,2.841300017
TUPXIO,Fc1ccc(cc1)C=C1CN(Cc2ccccn2)CC(=Cc2ccc(F)cc2)C1=O,3.32540002,2.926200018
TUPZAG,OC12N3CC(=Cc4ccc(Cl)cc4)C(=O)C4(C3)C(C3CCCN3C14C(=O)c1ccccc21)c1ccc(Cl)cc1,3.097100019,2.805100017
TUPZEJ,COc1ccc(OC)c2[Se][Se][Se]c12,2.418000014,2.021200012
TUQFER,CC(C)(C)C1=Cc2ccccc2C(=S)O1,2.778700017,2.351900014
TUQFES,CCOC(=O)C1=C(N2C=CC=C2C(Nc2ccc(Br)cc2)C(C1)C(=O)c1ccccc1)C(=O)c1ccccc1,3.769600023,3.30790002
TUQGAO,Clc1cc(Cl)c2C(=O)C3=Nc4ccccc4C(=O)N3c2c1,3.003300018,2.585900015
TUQKAS,O=C1c2ccccc2c2nc3ccccc3nc12,2.857100017,2.456900015
TUQKIB,OC(=Nc1cc(Br)ccc1N=C(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,3.685900022,3.34000002
TURBOZ,N#Cc1cc2nc3C4c5ccc(cc5C(c5ccc(cc45)N(c4ccccc4)c4ccccc4)c3nc2cc1C#N)N(c1ccccc1)c1ccccc1,3.621400022,3.28320002
TURBUF,N#Cc1nc2C3c4ccc(cc4C(c4ccc(cc34)N(c3ccccc3)c3ccccc3)c2nc1C#N)N(c1ccccc1)c1ccccc1,3.712200022,3.31900002
TURLAV,N#CC(C#N)=C1C2=C(SC(=C2)c2ccccc2)C2=C1C=C(S2)c1ccccc1,2.043700012,1.580800009
TURLOH,CC(C)N1C(=S)N(C(C)C)C2=C1SSC1=C(SS2)N(C(C)C)C(=S)N1C(C)C,2.554100015,2.135500013
TURPEE,CCCCN1C(=O)c2c(Br)c3C(=O)N(CCCC)C(=O)c3c(Br)c2C1=O,3.530500021,3.253300019
TURQAA,CC(C)P(C(C)C)c1cccc2c1Oc1c(cccc1C2(C)C)B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,3.504800021,3.054500018
TURQAB,Cc1cc(C)c(N2C(=O)c3c(Br)cc4C(=S)N(C(=O)c5c(Br)cc(C2=S)c3c45)c2c(C)cc(C)cc2C)c(C)c1,2.016900012,1.771700011
TURQEE,Cc1cc(C)c(P(c2cccc3c2Oc2c(cccc2C3(C)C)B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(C)cc(C)cc2C)c(C)c1,3.164700019,3.051600018
