ID,E(S1),E(T1),dST
CABROO,2.0326,1.906839412,0.125760588
RUFZEY,1.5116,1.38438038,0.12721962
DASBAB,2.0458,1.918366165,0.127433835
WOYRIL,1.391,1.262024284,0.128975716
JIZKAG,2.3402,2.210929617,0.129270383
PAHPEV,2.8951,2.764597414,0.130502586
LUHDIC,1.9333,1.802211549,0.131088451
MUDGUQ,1.205,1.072673702,0.132326299
DATMAN,2.0479,1.915076305,0.132823695
CODHAH,1.8577,1.72357058,0.13412942
ROGLAB,1.5777,1.440163766,0.137536234
AMTPYD,2.1157,1.976745519,0.138954481
MOXBEJ,2.0094,1.870177482,0.139222518
DIXNEE,2.5643,2.424999043,0.139300957
WANCOD,0.9704,0.830573805,0.139826195
REXSIY,2.4429,2.302112324,0.140787676
PIZYAY,0.9841,0.843308744,0.140791256
OHPRDC,2.0048,1.86370661,0.14109339
SALPOM,0.7492,0.607358626,0.141841374
NIFCEL,2.4547,2.312724773,0.141975227
DENDIJ,0.8471,0.703986335,0.143113665
HOKKIC,1.603,1.458368198,0.144631802
AFOBEE,1.831,1.684767112,0.146232888
NPNOXT,2.1943,2.047848928,0.146451072
MSALTS,3.3697,3.221912336,0.147787664
OMUNOA,2.6094,2.461429675,0.147970325
GUJBUK,2.7457,2.592947852,0.152752148
JONYES,1.8492,1.695896578,0.153303422
BOZLAD,2.1032,1.94614357,0.15705643
WEMQOU,1.7216,1.564220575,0.157379425
TMAZPZ,1.9149,1.753538503,0.161361497
IYISOA,2.3616,2.197810998,0.163789002
AFIPIQ01,2.8404,2.676296395,0.164103605
YAFWIN,2.2516,2.085999322,0.165600678
NEVPUZ,1.2587,1.091128478,0.167571522
YENZOG,1.7396,1.570941793,0.168658207
ZAGMID,1.9711,1.802293183,0.168806817
TEQYEU,1.6907,1.518804735,0.171895265
BTYPOD,1.9334,1.761421648,0.171978352
VOBKOM,1.644,1.47039564,0.17360436
KUDDEU,2.6848,2.505082216,0.179717784
UDETAY,2.6988,2.518715132,0.180084868
WIXJUK,3.3386,3.157312453,0.181287547
DULYOA,2.7061,2.524075779,0.182024221
JOLQUY,2.4803,2.298275516,0.182024484
YOKMOC,2.5213,2.336480332,0.184819668
MOYGUC01,2.3679,2.179603844,0.188296156
TOHJUV,2.4306,2.239498875,0.191101125
WENJAA,2.6541,2.462267787,0.191832213
PSBTTP,1.7111,1.518940792,0.192159208
TAVJUX,1.9635,1.770428624,0.193071376
AFAFAP,4.5124,4.316986468,0.195413532
VEMFOI,0.9703,0.773348214,0.196951786
HICRUI,3.9666,3.767514671,0.199085329
BUZKOW,1.8004,1.599268868,0.201131132
YINTUK,1.2424,1.0409452,0.2014548
UFAYUW,1.3832,1.173628025,0.209571975
YUMCOY,1.1759,0.965025372,0.210874628
PELJOG,4.2956,4.082475833,0.213124167
YUZGUV,0.8958,0.681945095,0.213854905
IPMUDS,1.8227,1.605799606,0.216900394
ONOCAX,1.5089,1.291752747,0.217147253
TMCBDT,2.4632,2.241893478,0.221306522
YENZIA,2.0182,1.796878113,0.221321887
KUJVOC,2.5602,2.338385131,0.221814869
TMBDSE,3.5194,3.296498805,0.222901195
WURWIP01,3.0474,2.823161806,0.224238194
DAMHEE,1.9352,1.707738983,0.227461017
MUSTOL,2.2784,2.050814972,0.227585028
