ID,E(S1),E(T1),dST
WOVCUF,3.7015,2.434495824,1.267004176
CARMEP,1.9398,0.669253694,1.270546306
DOKJUK,2.4821,1.210472271,1.271627729
QEFBAH,2.3417,1.068809682,1.272890318
YAHCOZ,3.7991,2.525898943,1.273201057
KAYZUF01,1.4157,0.142234029,1.273465971
DCHXAL01,3.6816,2.408002797,1.273597203
DECCIY,4.037,2.761713005,1.275286995
NUSZIM,3.8226,2.54361357,1.27898643
COBBIE05,3.3441,2.063579843,1.280520157
AREGOV,4.0271,2.746093656,1.281006344
PAKNIB,2.0818,0.798374546,1.283425454
LOFVIM,1.4524,0.167268525,1.285131475
WUSZER,2.9616,1.675569656,1.286030344
WUGTUP,3.1596,1.873206112,1.286393888
QOZHIX,3.6146,2.327663836,1.286936164
IVOLAG,3.7594,2.470550939,1.288849061
SURKOF,4.2658,2.974887174,1.290912826
SISYIE,3.5432,2.249031031,1.294168969
LEJDEL,2.0966,0.800995004,1.295604996
ICILUB,4.322,3.023241846,1.298758154
ZIYSOS,4.2407,2.941662045,1.299037955
SUQBIR,1.9232,0.623522202,1.299677798
WUKHOB,4.2951,2.994914771,1.300185229
ZIDCOE,4.3132,3.012574974,1.300625026
IZAQAC,4.0517,2.748896431,1.302803569
BIRKIW,3.9295,2.626472307,1.303027693
NUNPOB,3.5779,2.272206987,1.305693013
DOKJOE,2.5648,1.257741208,1.307058792
ECUWAA,4.3651,3.054453331,1.310646669
MUGHIF,3.9884,2.677632475,1.310767525
DOZCED,3.7336,2.420835697,1.312764303
SIWFAF,3.3545,2.040610694,1.313889306
WUJTIG,3.4294,2.115115529,1.314284471
DIWWEN,2.1884,0.873962395,1.314437605
ZICGAT,4.0235,2.707480668,1.316019332
FEPKOA,2.5032,1.184621434,1.318578566
LIDWUS,2.2713,0.951120342,1.320179658
MORROD,4.1043,2.78309845,1.32120155
COYHUV,4.8866,3.565293093,1.321306907
SUYSEM,3.8391,2.517436195,1.321663805
XEJSOX,2.1567,0.834462315,1.322237685
REQMEH,3.762,2.439720414,1.322279586
EPIZAF,3.3338,2.011276796,1.322523204
TETRUG,2.9807,1.658099932,1.322600068
PAZHUT,3.8197,2.4964562,1.3232438
WUKHIV,4.0524,2.72837903,1.32402097
RAPBUF,4.2518,2.927512113,1.324287887
CAVJUF,3.7945,2.46940806,1.32509194
UGINAC,3.6888,2.359473972,1.329326028
VARNUZ,3.999,2.669411909,1.329588091
KAWVUA,2.1833,0.852587834,1.330712166
ZOLRUN,3.8119,2.478088499,1.333811501
XEDWOS,4.1308,2.794693231,1.336106769
REHWOR,2.5632,1.225465757,1.337734243
KOZNAQ,4.0806,2.742801076,1.337798924
MULWEY,3.7986,2.458980649,1.339619351
ZADNEA,4.2327,2.892246128,1.340453872
LEJDAH,2.0894,0.746381709,1.343018291
UDUBAX,3.6707,2.327636625,1.343063375
CIMZON11,4.1395,2.795373516,1.344126484
TIMSIR,3.7141,2.369841519,1.344258481
BERGIP,2.4303,1.083721533,1.346578467
XUYRAM,2.0975,0.748259296,1.349240704
FAPMUF,4.0144,2.664541067,1.349858933
XUMMAV,1.9737,0.623059608,1.350640392
YEMLOR,2.2767,0.924072203,1.352627797
GEYHUN,4.165,2.811890841,1.353109159
KAXSUA,4.0281,2.672867758,1.355232242
SISJEK,4.0572,2.701385313,1.355814687
BDTOLE14,3.4921,2.134734954,1.357365046
JECTUG,3.8939,2.531041899,1.362858101
GEYHIB,4.1831,2.819918206,1.363181794
GEBTEO,3.4874,2.123823179,1.363576821
NOCMEX,4.3446,2.980846473,1.363753527
PEMBAK,4.1788,2.814639193,1.364160807
VAVSAN,3.5075,2.142653474,1.364846526
XEDWIM,4.1573,2.792380261,1.364919739
CLNAPU,4.3006,2.928001919,1.372598081
POKNUY,4.1296,2.756923797,1.372676203
WIMFUT,4.4614,3.087787306,1.373612694
KIVDAV,4.3895,3.012384495,1.377115505
PIYMUI,3.6946,2.31710581,1.37749419
QIBGUD,3.6492,2.270846416,1.378353584
WOLZON,3.6369,2.255580817,1.381319183
AVERUF,2.774,1.390584581,1.383415419
COYGOO,2.2921,0.905622868,1.386477132
TABBAZ,3.7986,2.411393339,1.387206661
SUTXOU,3.3264,1.938350223,1.388049777
MUXLAS,3.8109,2.420155412,1.390744588
LEJDIP,2.159,0.766463728,1.392536272
OGIQUS,4.4685,3.075270058,1.393229942
UFIQOP,3.7804,2.382905716,1.397494284
FIFNEN,4.1886,2.789931235,1.398668765
ETANIY,2.7852,1.386374976,1.398825024
OHENUN,2.2229,0.823308359,1.399591641
TIXCEL,3.821,2.419502338,1.401497662
EZEDEU,3.2248,1.823240525,1.401559475
JAXNOM,4.4593,3.057473798,1.401826202
HIBZEZ,2.574,1.17025381,1.40374619
MPYCHD,1.6221,0.209440765,1.412659235
GIXNUW,3.5113,2.09794513,1.41335487
AXOZAO,1.8659,0.44452556,1.42137444
AVONUW,4.836,3.410460182,1.425539818
RELWOX,2.3469,0.916749613,1.430150387
TAJPOJ,2.178,0.747306897,1.430693103
UBAHAJ,2.2878,0.857050505,1.430749495
CAPFII,3.4884,2.056910327,1.431489673
PAVBEU01,4.1566,2.723344919,1.433255081
EWAFOZ,2.4854,1.045244602,1.440155398
RUWFIY,2.3997,0.956989843,1.442710157
LEXBAR,4.1916,2.748352203,1.443247797
PARCER,5.1564,3.712996615,1.443403385
XARHEE,4.1966,2.751862475,1.444737525
YOFROB,4.013,2.566498364,1.446501636
IGEZUR,3.7985,2.35150103,1.44699897
ZZZJWM01,1.7681,0.318441502,1.449658498
LIWDAY,4.4926,3.042344255,1.450255745
XANRUB,1.8245,0.372986769,1.451513231
ROQHOU,2.0481,0.595965209,1.452134791
VORLUK,3.2984,1.844879036,1.453520964
XOKGEJ,5.1361,3.678655818,1.457444182
CAZVIJ,2.8055,1.34767219,1.45782781
CUMWIS,4.5101,3.051187962,1.458912038
PVVAQS01,3.9739,2.514238855,1.459661145
GAFYES,4.1345,2.672405164,1.462094836
ZEZZUB,2.4232,0.961079717,1.462120283
SUVDUJ,4.2587,2.794883711,1.463816289
HEPOPH02,2.8813,1.414122448,1.467177552
SIBGOZ,3.8586,2.389760269,1.468839731
GAWRIF,4.1413,2.672051415,1.469248585
GEQZOR,1.8138,0.343862399,1.469937601
UNUMEW,2.0408,0.56994294,1.47085706
UTAKUX,2.4894,1.014642653,1.474757347
YAHZUE,5.0099,3.533945551,1.475954449
BOCHEG,2.5509,1.070314472,1.480585528
CAKLAE,3.7528,2.271281799,1.481518201
FILPAT,3.7547,2.270492668,1.484207332
MEBZAN,1.8134,0.328626732,1.484773268
DEWLID,3.6504,2.163932795,1.486467205
LEXLIM,2.8269,1.336896473,1.490003527
RAPRIJ,3.5891,2.096747828,1.492352172
HOSWAQ,4.8879,3.395303427,1.492596573
QOPWAU,1.3752,-0.118709767,1.493909767
NEFQEW,3.8886,2.394440631,1.494159369
WUPYEM,3.2195,1.725039996,1.494460004
BADKIC,5.2968,3.795545142,1.501254858
CEMHUY,5.7763,4.274305375,1.501994625
PATZUG,3.8219,2.318167055,1.503732945
CADJEY,2.8239,1.319154635,1.504745365
ATUQEN,2.5601,1.054096473,1.506003527
HALBAA,3.8633,2.356943311,1.506356689
VUZGAZ,5.2044,3.69375815,1.51064185
NIGVAB,3.8117,2.300860599,1.510839401
CEFXOB,3.7284,2.216940617,1.511459383
WILKAG,2.7926,1.275425902,1.517174098
WEZZUW,4.8694,3.350540661,1.518859339
WADYUX,5.7627,4.243265322,1.519434678
CIQFIS,3.6219,2.102353378,1.519546622
UQOJIU,3.229,1.709175745,1.519824255
WOKYIH,2.8625,1.341522412,1.520977588
VERQUE,3.681,2.159442912,1.521557088
XIWCOV,3.6105,2.088883731,1.521616269
WUQCET,2.7547,1.231887649,1.522812351
XARHII01,4.292,2.767291343,1.524708657
WATKIL,3.816,2.288914791,1.527085209
AWUDON,5.2785,3.749791881,1.528708119
YEMSUH,3.7149,2.18491279,1.52998721
SEDPIA01,3.746,2.213348711,1.532651289
DOZBUS,3.7912,2.258301957,1.532898043
ETIMUP,4.5499,3.012248438,1.537651562
SAFSIB,3.7394,2.201675017,1.537724983
DOZBOM,3.7801,2.242192804,1.537907196
XOGDED,4.5509,3.012847089,1.538052911
TOXANO,4.6365,3.097991584,1.538508416
SUVFAR,3.7936,2.253539961,1.540060039
FUPJOP,3.7963,2.255988988,1.540311012
MUFKUT,4.7261,3.184578284,1.541521716
COYGEE,4.7618,3.21579249,1.54600751
SEZCIJ,1.8152,0.268767076,1.546432924
VENQOV,3.6652,2.118353686,1.546846314
KOSGAD,3.6234,2.074761011,1.548638989
KOSFOQ,3.6237,2.074026303,1.549673697
KOSFEG,3.6219,2.071740544,1.550159456
VERPUG,3.5682,2.014487742,1.553712258
CEFXUH,3.4531,1.898784836,1.554315164
OGUJIM,2.4214,0.866193538,1.555206462
SATQAG,3.8071,2.250111324,1.556988676
ZAQSEP,3.6414,2.083604718,1.557795282
GUNDID,3.6637,2.10450308,1.55919692
POYCAI,3.049,1.488899398,1.560100602
MIZSEW,5.2575,3.69724121,1.56025879
DCLBQN02,2.0504,0.479247317,1.571152683
JUNBAX,3.9258,2.352126892,1.573673108
POKPAG,4.3508,2.774366309,1.576433691
CEFYES,3.5107,1.922485972,1.588214028
TEWXEA,4.2075,2.619098015,1.588401985
XIFLAZ,2.3583,0.766354882,1.591945118
PHNAPQ,2.9524,1.357027472,1.595372528
YIKZOJ,5.4185,3.819474854,1.599025146
TITNIW,2.5147,0.911263793,1.603436207
CICTAJ,5.6841,4.075915163,1.608184837
ANISAC,5.841,4.224312576,1.616687424
ELUPOS,4.7532,3.132577284,1.620622716
IROYAP,5.3418,3.719709669,1.622090331
RAKCAH,5.3339,3.711546247,1.622353753
LESQUX,3.2914,1.668276999,1.623123001
SAVMUA,2.6725,1.049054199,1.623445801
ZIBVOX,2.8318,1.204567396,1.627232604
HORBEX,2.5083,0.879363859,1.628936141
SOCFOH,3.0074,1.375019655,1.632380345
NIJDIU,5.3557,3.722746463,1.632953537
TADQOE,3.5465,1.909370073,1.637129927
TEJQIJ,3.7394,2.10219011,1.63720989
ARACYP,2.4726,0.831961587,1.640638413
YENZUM,5.2848,3.642845605,1.641954395
YIYRON,1.8049,0.152030136,1.652869864
KILREE,5.5096,3.854517706,1.655082294
VUTDAP,2.2037,0.547602374,1.656097626
IVUJAM,5.7669,4.102345604,1.664554396
GECWUJ,3.9782,2.302438861,1.675761139
EZAKAS,2.2815,0.605481038,1.676018962
XURZAL,5.4228,3.743685641,1.679114359
DALVAN,2.5313,0.851706184,1.679593816
RENSUA,2.432,0.746626611,1.685373389
CINXUT,1.792,0.104382961,1.687617039
NUWRAY,2.8164,1.122497789,1.693902211
YOPSIG,3.9798,2.280446601,1.699353399
HESFOB,3.0275,1.324188745,1.703311255
YELCUN,2.6028,0.899037707,1.703762293
CINXON,2.785,1.075993493,1.709006507
TIKIND,5.2217,3.509311063,1.712388937
SAHBAG,5.707,3.991995181,1.715004819
ROZWAH,3.7081,1.992092753,1.716007247
FOMVUZ,2.4075,0.688747947,1.718752053
CEFYAO,4.1474,2.425298368,1.722101632
OBUYUH,2.9114,1.180839048,1.730560952
VUDWAU,2.5548,0.818546363,1.736253637
YAKSAG,2.3962,0.659604529,1.736595471
NPINDO,2.7213,0.979942665,1.741357335
OFALIT,3.8154,2.068502387,1.746897613
LACTOY,2.8952,1.141817889,1.753382111
TEJWOV01,3.4691,1.708250557,1.760849443
JEZYOC,3.367,1.602479814,1.764520186
TCANTQ,4.0097,2.226219707,1.783480293
ZIJLOV,1.2634,-0.520935194,1.784335194
RESGOO,2.4374,0.650624764,1.786775236
LIVBEZ,2.2985,0.51100303,1.78749697
XIHYES,2.6848,0.889459292,1.795340708
XAKQOP,3.2906,1.491538904,1.799061096
AYUTOE,2.7721,0.963773647,1.808326353
INOHUO,5.9027,4.093793058,1.808906942
ZOVCIW,4.1515,2.335500722,1.815999278
SONNAM,2.7886,0.966658056,1.821941944
PMELTA,2.1935,0.357476266,1.836023734
DOPJIB,3.2647,1.424495437,1.840204563
PAVVIT,4.0607,2.200695407,1.860004593
DUROQN11,3.0325,1.156735183,1.875764817
JOCGAM,3.3172,1.432950022,1.884249978
OCOHOF,2.1177,0.225612504,1.892087496
QOCDEU,3.323,1.430830253,1.892169747
RAFTOH,5.1168,3.190782485,1.926017515
OHEFOZ,2.9001,0.96905266,1.93104734
PUWFIZ,2.3489,0.410184763,1.938715237
RENJUR,3.7315,1.787038468,1.944461532
CEFJON,2.8169,0.864152682,1.952747318
NUMKUC,5.022,3.067351539,1.954648461
KUJVIW,2.6362,0.673672827,1.962527173
ROVMEW,2.4387,0.474213206,1.964486794
CUBJOZ,5.7865,3.815012184,1.971487816
HTPSTP,4.1792,2.204858752,1.974341248
XOKGOT,3.0515,1.076619356,1.974880644
PAWRAI,3.0584,1.083394996,1.975005004
IWIGUR,3.2985,1.315644363,1.982855637
DAVSEB,3.6183,1.63524235,1.98305765
WIBYUC01,3.2244,1.221109211,2.003290789
UBUMIQ,4.9879,2.971132,2.016768
BELNIS,3.3256,1.291099673,2.034500327
OHEFIT,3.935,1.89791407,2.03708593
XEBLUN,4.2337,2.174409187,2.059290813
QIXXAY,3.0299,0.967447187,2.062452813
GURHAE,4.261,2.177266385,2.083733615
NNOXDT,3.5259,1.441388279,2.084511721
GIQYIO,5.373,3.284634631,2.088365369
SIXKUI,3.1187,1.026716355,2.091983645
EXAKIY,3.4075,1.310800732,2.096699268
HDXMOR,6.0245,3.91253787,2.11196213
GIPFOC,3.9953,1.880242982,2.115057018
EGUDAO,5.1824,3.061827623,2.120572377
XAVSES,2.8637,0.735116186,2.128583814
PASPLB02,5.8719,3.738901876,2.132998124
DITSEH,5.8942,3.749732016,2.144467984
SUGCEC,3.0203,0.874675334,2.145624666
MOTVOJ,3.129,0.94605902,2.18294098
WOZWAL,3.207,1.02336663,2.18363337
VUCHIK,2.4563,0.252407578,2.203892422
BOJWIH,6.3295,4.112326748,2.217173252
EVIYOY,5.0648,2.809014595,2.255785405
UNOWAW,5.4409,3.132441226,2.308458774
VOMTIA,3.7599,1.420353861,2.339546139
OLISUX,3.7345,1.356319976,2.378180024
AMTETA,5.1852,2.769269613,2.415930387
ZOXRIN,5.2135,2.772524097,2.440975903
ESOZIV,3.7267,1.245302874,2.481397126
PZPZTO,3.18,0.684217247,2.495782753
VIJLOS,4.4565,1.959602332,2.496897668
TUGYAV,5.7633,3.257885817,2.505414183
IQEXEI,5.8107,3.277750145,2.532949855
CIRHAO,4.0696,1.423635557,2.645964443
TIZPOH,5.8917,1.965806533,3.925893467
