ID,E(S1),E(T1)
XEYYAB,3.8782,2.67292218
JIYHIJ,3.9182,2.680949546
GEBTEO,4.0612,2.835428709
NAGYOK,3.5164,3.229994124
FOZQOA,4.3791,3.032520936
WUJTIG,4.3602,3.034235255
LOSBIE01,3.9003,2.964710108
ONOCAX,1.5182,1.206281715
WUKHUH,4.1433,2.907974322
JIYHOP,3.9272,2.975839574
BDTOLE14,4.3902,3.014479773
MUXLAS,4.0666,3.053228818
LAXVIQ01,3.6185,3.324961938
VARVUF,3.9501,3.242402526
ZAVXOJ,7.3748,6.296238158
LEWZUI,4.1569,2.808353358
WUKHIV,4.2416,2.938940905
GUJBUK,2.6022,2.473979577
PEMBEO,3.6654,2.402304728
OCUFID,3.7292,2.324126353
NOCMEX,4.0905,3.020085323
DAMNOV,2.5435,2.213457557
TSEFUL01,3.9189,3.295410349
NEFQEW,4.4156,3.054398908
WUKJAP,4.1374,2.736052647
YINTUK,2.1642,1.959683967
SAFSIB,4.3365,3.108087016
CEFXOB,4.5131,3.0434055
JUDVAH,1.7395,0.989461216
TUHDUV,4.1008,2.733440352
ESOFAV,1.6485,0.957297332
BOVMAA,3.6751,2.838149849
NIGVAB,4.1766,2.642472615
CAKLAE,3.8481,2.277513211
BERGIP,1.734,0.999801551
YEMSUH,3.7491,2.201647806
FILPAT,4.8425,3.038480235
EPYHAT,2.5597,1.962513953
JOQTUE,4.0877,2.877633602
CEFXUH,4.391,2.930042774
HEPOPH02,1.7671,1.096973489
CAVJUF,3.8918,2.560647911
ZICGAT,3.9637,2.701004353
BADKIC,5.3179,3.699741938
FILXON,2.0001,1.905805379
ROQHOU,1.5812,0.355582352
PIYMUI,3.7239,2.254818897
PILFEV,3.8598,3.425072708
CEFYAO,3.6227,2.111605257
ROQJAI,1.547,0.386527165
VOBKOM,1.4073,1.234962539
ROQJIQ,1.5274,0.367435642
QITVUK,2.4613,1.770183722
GIKNIZ,2.0504,1.707951232
DENDIJ,0.799,0.666869975
DOZCED,3.828,3.567987022
ILEXAY,3.7515,3.304825496
RUDNOT02,3.6349,2.46263242
COLDEM,0.8417,1.270304715
ONOBAW,1.8343,1.440822282
NEHHAL,3.5239,2.202137611
DERTOJ,3.7139,2.782910691
XUYRAM,2.4114,1.19207736
RAPBUF,3.6697,2.34358251
WOKMUG01,3.9469,2.635724186
DERTID,3.9562,2.6584185
CIFFAY,4.7674,3.281967913
ASOPEF,3.9935,2.126625954
EVOQOV,2.1603,1.385087876
GEQZOR,1.8,-0.567229962
LIWDAY,4.1441,2.716841393
WUKHOB,3.6546,2.070189494
WIDTIM,1.4804,1.361740488
LOFVEI,1.7424,0.982522307
ZOLRUN,3.862,2.560892814
XARHEE,3.9487,2.502007327
NEJTIF01,4.2865,3.01037085
PUTZIP,3.1224,2.047712871
GOJCIR,5.3611,4.784309746
FOZQIU,3.6008,2.03590312
HICRUI,4.9683,4.749623365
VIPSEU,2.6541,1.727140716
FAZJAR,4.3009,3.008112304
ONOBUQ,2.093,1.60084713
KUHWIT,1.5721,0.935990799
YAFNOI,5.6508,3.850795185
HALBAA,3.7162,2.153810151
KOSGAD,4.5671,3.069337971
AFAFAP,2.1039,1.969112719
KOSFOQ,4.5682,3.06950124
KOSFEG,4.5688,3.068793743
WIJVAO,1.681,1.383700094
VERQUE,3.6301,2.075631776
IWIGUR,5.0198,3.653784591
PARNEC,5.2751,3.612232772
ZAQSEP,4.5737,3.068902589
GOHKUJ,2.9309,2.571178726
DOPJIB,3.0848,1.22914474
XIVYOQ,2.912,1.541880009
KAHDUS,2.205,1.942649625
RIHVEL,2.7188,2.066951337
AMEPOS,6.5664,5.89460594
HOFVED01,3.6438,3.324145595
HAKPAL,2.2121,0.884153067
IFUHAS,3.8155,3.007105481
GURHAE,5.6229,3.875176607
DEWLID,3.6747,2.185076059
