ID,E(S1),E(T1)
BAJVEP,0.8275,0.783933452
NEDQIZ,3.2111,2.328806715
NIJDIU,5.3557,3.722746463
INOHUO,5.9027,4.093793058
DITSEH,5.8942,3.749732016
KOVFUW,4.8253,3.703118874
MSALTS,3.3697,3.221912336
IPMUDS,1.8227,1.605799606
FICTER01,3.0998,2.255765854
QUGHUX,3.5205,2.494660247
YOPKOD,1.4682,1.463892114
YUJKUJ01,2.3354,2.326839331
VOKBON,2.2205,1.439673961
JOCGAM,3.3172,1.432950022
HORBEX,2.5083,0.879363859
SEYSIY,1.9645,1.912363328
XURZAL,5.4228,3.743685641
VOMTIA,3.7599,1.420353861
PASPLB02,5.8719,3.738901876
LURZAC,2.1515,2.110271898
EWIDOD,1.8845,1.277602815
LISFOL,2.7038,2.591097477
FIGREV,2.111,2.077373306
GUCWEJ,2.9027,2.859946187
WUGTUP,3.1596,1.873206112
EPIZAF,3.3338,2.011276796
NODHUJ,0.5757,0.54850035
XAVSES,2.8637,0.735116186
BELNIS,3.3256,1.291099673
IPUVOG,1.7009,1.633800145
TAQRAH,0.6415,0.627957661
BESCEI,2.2047,1.701420494
BUWVEU,1.4755,1.446182929
FIBVOC,1.6137,1.604983264
DAXWEH,2.1843,1.060319722
OBIPUN,1.7879,1.752754815
DURRUG,1.1607,0.859534906
REXSIY,2.4429,2.302112324
CAFMAX,1.3402,1.317437595
XIHYES,2.6848,0.889459292
VIMPUF,4.3585,3.205204531
AWUDON,5.2785,3.749791881
IVUJAM,5.7669,4.102345604
NEVPUZ,1.2587,1.091128478
HOQZIZ,4.6544,3.610001436
COCGUZ,4.2613,3.222701467
CIRHAO,4.0696,1.423635557
IHAZEX,2.0097,1.977888398
SIXKUI,3.1187,1.026716355
GOJZAG10,1.345,1.308596608
XIJCIE,2.5224,2.417815231
ESEDEM,2.6343,2.529305811
ROPVAW,1.9063,1.785639801
PITJIM,1.8921,1.8548112
CUBJOZ,5.7865,3.815012184
FUPJOP,3.7963,2.255988988
CABROO,2.0326,1.906839412
ALAQEK,4.4034,3.363901463
YAPNAH,2.7475,1.926758163
DEPYIG,1.2564,1.215773054
JIYKAD,5.2386,4.55747545
IQEXEI,5.8107,3.277750145
WEMQOU,1.7216,1.564220575
NIFFOY,1.6676,1.634534853
NEVQAG,1.2264,1.139537573
LOFVIM,1.4524,0.167268525
XIPQUI,1.8036,1.780279154
OCOHOF,2.1177,0.225612504
VENQOV,3.6652,2.118353686
MIZSEW,5.2575,3.69724121
RUTQEF,2.21,2.181277346
CALZOF,4.3338,3.279410041
MUFKUT,4.7261,3.184578284
KILREE,5.5096,3.854517706
LUHDIC,1.9333,1.802211549
LIVBEZ,2.2985,0.51100303
KEVGIB,0.9647,0.924945689
TIZPOH,5.8917,1.965806533
YISYEE,4.8497,3.730830972
VOFXAP,1.6057,1.564778409
NAWPAF,1.9769,0.892833506
HDXMOR,6.0245,3.91253787
LIDWUS,2.2713,0.951120342
WENSIT,1.0192,0.922983746
MEBNOX,2.3346,2.282745965
XAKQOP,3.2906,1.491538904
RAFTOH,5.1168,3.190782485
MOXBEJ,2.0094,1.870177482
ODEMEP,4.2328,3.187062686
PSBTTP,1.7111,1.518940792
RUFZEY,1.5116,1.38438038
VIJLOS,4.4565,1.959602332
BOCHEG,2.5509,1.070314472
QEKHUM,3.3662,2.32888835
ZOVCIW,4.1515,2.335500722
LEJCUA,2.1891,0.963773647
RAPRIJ,3.5891,2.096747828
NIRYUI,3.798,3.341288782
VUDVIB,1.4125,1.048754874
EKAVIV,3.555,3.278893024
UNOWAW,5.4409,3.132441226
QOCDEU,3.323,1.430830253
KOZNAQ,4.0806,2.742801076
JAYQUV,3.8703,2.752706029
CINXUT,1.792,0.104382961
PAZHUT,3.8197,2.4964562
WIMFUT,4.4614,3.087787306
XUMMAV,1.9737,0.623059608
KOYMOC,4.0528,2.81651678
KOYMES,4.1196,2.928872684
PIZYAY,0.9841,0.843308744
KOZMUJ,3.8769,2.701004353
AMTPYD,2.1157,1.976745519
ZIBVOX,2.8318,1.204567396
QIGMIC,3.5203,3.261015129
RENJUR,3.7315,1.787038468
XENWIX,3.4567,2.632839776
KAXTAH,2.8597,1.746101626
ESOZIV,3.7267,1.245302874
XEJSOX,2.1567,0.834462315
SAVMUA,2.6725,1.049054199
HODZAD,3.8876,3.586681259
DECCIY,4.037,2.761713005
ZIJLOV,1.2634,-0.520935194
XANRUB,1.8245,0.372986769
WOZWAL,3.207,1.02336663
HOBXEB,1.1531,0.25782809
UBAHAJ,2.2878,0.857050505
SUQBIR,1.9232,0.623522202
HIBZEZ,2.574,1.17025381
IZAQAC,4.0517,2.748896431
BONJIY,3.8987,2.728134127
IPILUO,3.5414,2.948301629
IZAPUV,4.0256,2.758665327
BIRKIW,3.9295,2.626472307
CAPFII,3.4884,2.056910327
FEZCOF,2.8225,2.119904737
ICECAU,1.3133,0.99934712
PAVBIY,4.1292,3.06699779
SIBGOZ,3.8586,2.389760269
BAPPAK,2.0265,1.918254598
KUWVAB,3.9874,2.757821773
ZUPCAO,2.0227,1.474912734
PAVBEU01,4.1566,2.723344919
PATZUG,3.8219,2.318167055
SEZCIJ,1.8152,0.268767076
WIKDOJ,4.0687,2.80568664
DOZBUS,3.7912,2.258301957
WUSCAP,3.5868,2.333133329
POKPAG,4.3508,2.774366309
JEGBIG,3.7634,2.712514779
DEVXUX,1.107,0.274854268
HOBMIU,3.7482,3.434623912
ICILUB,4.322,3.023241846
GEYHUN,4.165,2.811890841
SUVFAR,3.7936,2.253539961
CIMZON11,4.1395,2.795373516
TMBDSE,3.5194,3.296498805
PEKGAN,4.0942,2.836898125
SEDPIA01,3.746,2.213348711
WUSCET,4.2466,3.052548533
ABAROL,4.0715,2.980764839
GAFYES,4.1345,2.672405164
BOFBIH,3.7132,3.24944756
POKNUY,4.1296,2.756923797
DOZBOM,3.7801,2.242192804
GUNDID,3.6637,2.10450308
VUKQAU,4.1772,2.96416588
KIVDAV,4.3895,3.012384495
WUKJET,4.1878,3.016275726
TMCBDT,2.4632,2.241893478
BOTSAF,4.1236,2.89904898
GEYHIB,4.1831,2.819918206
SORGUD,3.6779,3.424120308
PEGHEQ,3.9244,2.917226201
BOTRUY,4.1374,2.924927029
WUKHER,4.1244,2.890831135
LEXBAR,4.1916,2.748352203
HOZSUK,3.9694,2.742120791
