ID,E(S1),E(T1)
NUNPOB,3.5779,2.272206987
TEJQIJ,3.7394,2.10219011
IWUTID,2.9831,2.737549274
RIFMAU,3.9636,2.74636577
RUTLUO,4.4668,4.213985847
XEYYAB,3.8298,2.848435762
JIYHIJ,3.9044,2.899293883
GEBTEO,3.4874,2.123823179
NAGYOK,3.5825,3.282240027
FOZQOA,4.1195,2.951975169
WUJTIG,3.4294,2.115115529
LOSBIE01,3.9,2.889089605
ONOCAX,1.5089,1.291752747
WUKHUH,4.1129,2.86772865
JIYHOP,3.9595,2.94174368
BDTOLE14,3.4921,2.134734954
MUXLAS,3.8109,2.420155412
LAXVIQ01,3.6739,3.350268547
VARVUF,4.0553,3.700071196
ZAVXOJ,4.6897,4.125208629
LEWZUI,4.4558,4.207046938
WUKHIV,4.0524,2.72837903
GUJBUK,2.7457,2.592947852
PEMBEO,4.289,3.161557433
OCUFID,4.3238,3.069446817
NOCMEX,4.3446,2.980846473
DAMNOV,2.5428,2.21718552
TSEFUL01,3.7398,3.080685129
NEFQEW,3.8886,2.394440631
WUKJAP,4.2642,3.000656378
YINTUK,1.2424,1.0409452
SAFSIB,3.7394,2.201675017
CEFXOB,3.7284,2.216940617
JUDVAH,4.0977,3.179516962
TUHDUV,4.1292,2.980928107
JEZYOC,3.367,1.602479814
ESOFAV,1.6891,0.938222135
BOVMAA,3.6952,2.831074883
NIGVAB,3.8117,2.300860599
CAKLAE,3.7528,2.271281799
PEMBAK,4.1788,2.814639193
BERGIP,2.4303,1.083721533
YEMSUH,3.7149,2.18491279
FILPAT,3.7547,2.270492668
KOHKID,2.176,1.542886831
IKUQEK,0.9018,0.816287816
EPYHAT,2.9427,2.057808304
JOQTUE,4.1293,3.230266238
CEFXUH,3.4531,1.898784836
HEPOPH02,2.8813,1.414122448
CAVJUF,3.7945,2.46940806
ZICGAT,4.0235,2.707480668
BADKIC,5.2968,3.795545142
ROQHOU,2.0481,0.595965209
PIYMUI,3.6946,2.31710581
PILFEV,3.6785,2.807455381
CEFYAO,4.1474,2.425298368
AFOBEE,1.831,1.684767112
ROQJAI,1.5323,0.339296325
VOBKOM,1.644,1.47039564
ROQJIQ,1.5145,0.322155859
QITVUK,2.8929,2.276805715
YUMCOY,1.1759,0.965025372
LAPHEP,2.0315,1.965507208
GIKNIZ,2.0467,1.709992087
DENDIJ,0.8471,0.703986335
DOZCED,3.7336,2.420835697
ILEXAY,3.8974,3.197884663
RUDNOT02,3.6862,2.628349894
ONOBAW,1.9571,0.723322762
NEHHAL,3.8262,2.584811641
DERTOJ,3.6525,2.714337943
XUYRAM,2.0975,0.748259296
RAPBUF,4.2518,2.927512113
WOKMUG01,3.8831,2.83526544
DERTID,3.9406,2.698364847
ASOPEF,4.748,4.497365449
GEQZOR,1.8138,0.343862399
LIWDAY,4.4926,3.042344255
WUKHOB,4.2951,2.994914771
WIDTIM,1.441,1.321358759
LOFVEI,1.9215,1.133110239
ZOLRUN,3.8119,2.478088499
XARHEE,4.1966,2.751862475
NEJTIF01,3.8039,2.730909691
PUTZIP,3.1187,2.031222758
GOJCIR,5.1579,4.402343213
FOZQIU,4.1084,2.920600416
HICRUI,3.9666,3.767514671
VIPSEU,2.5816,1.66632322
FAZJAR,3.9459,2.830122484
ONOBUQ,1.879,1.495729461
BOZLAD,2.1032,1.94614357
KUHWIT,1.2946,0.704639409
YAFNOI,2.4257,2.025644419
HALBAA,3.8633,2.356943311
KOSGAD,3.6234,2.074761011
AFAFAP,4.5124,4.316986468
KOSFOQ,3.6237,2.074026303
KOSFEG,3.6219,2.071740544
VERQUE,3.681,2.159442912
IWIGUR,3.2985,1.315644363
WIPVUM,3.2417,2.810734356
PARNEC,2.5321,2.204749907
ZAQSEP,3.6414,2.083604718
GOHKUJ,0.8464,0.527275452
DOPJIB,3.2647,1.424495437
XIVYOQ,3.0035,1.866484894
VEMFOI,0.9703,0.773348214
RIHVEL,2.3931,1.753040535
AMEPOS,7.5314,6.870556692
HOFVED01,3.6423,3.323873481
HAKPAL,2.241,0.990549672
IFUHAS,3.8017,3.010207582
GURHAE,4.261,2.177266385
DEWLID,3.6504,2.163932795
TBPMTK10,2.0711,1.992201599
WUNWOR,1.5589,1.050169867
ZZZBKS01,2.489,1.850321318
KUGGIC04,3.3937,2.956573897
FAPMUF,4.0144,2.664541067
IHEDIJ,2.3134,1.623704713
ZADNEA,4.2327,2.892246128
CIKSEU,1.0527,1.228361051
UFAYUW,1.3832,1.173628025
HMPYQT,1.5988,1.279861362
UHAKET,1.854,1.065217776
LEJDOV,1.8729,0.9431474
WAHHUI,2.3214,1.489253146
XAWDOP,2.7337,2.071686122
OHPRDC,2.0048,1.86370661
XIFLAZ,2.3583,0.766354882
TAZCAZ,1.8317,1.765666628
KODTIG01,1.3384,0.694816091
PEHYIK,4.061,2.855184191
JECTUG,3.8939,2.531041899
TOHJUV,2.4306,2.239498875
ECADUI,4.7961,3.700397733
CEFYES,3.5107,1.922485972
GAWRIF,4.1413,2.672051415
HURXOH,3.8157,2.857170624
UGINAC,3.6888,2.359473972
BURWAM,3.3468,2.74152214
TADQOE,3.5465,1.909370073
DOPSAC,3.3553,2.545654425
COYGOO,2.2921,0.905622868
MOYGUC01,2.3679,2.179603844
WUSZER,2.9616,1.675569656
JUNBAX,3.9258,2.352126892
QIBGUD,3.6492,2.270846416
KAYZUF01,1.4157,0.142234029
DATMAN,2.0479,1.915076305
DASBAB,2.0458,1.918366165
PELJOG,4.2956,4.082475833
NULGOS,2.0497,0.879445494
XANQIP,1.6307,0.946140655
XARHII01,4.292,2.767291343
LOSBOK,3.8096,2.846231638
BOSECH,4.154,2.961744064
FOHHUF,2.2889,1.264378071
AREGOV,4.0271,2.746093656
AREGIP,3.9996,2.744569818
BTYPOD,1.9334,1.761421648
MPCAZU,0.8888,0.901075842
TAKFAM,2.3067,1.670780448
FAYYAH,2.5476,1.899900503
COSFIZ,2.1184,1.73730962
GIXNUW,3.5113,2.09794513
QIBJIV,3.1737,2.627832877
XEDWOS,4.1308,2.794693231
SURKOF,4.2658,2.974887174
RUYSUZ,4.8432,4.567336864
TABBAZ,3.7986,2.411393339
VAVSAN,3.5075,2.142653474
LOCZAH,2.2039,1.795735234
UTISEW,2.7489,2.295796556
QUVWAI,2.0646,1.767707483
BEWZOV,2.9614,1.924472405
CAZVIJ,2.8055,1.34767219
YOZFOL,2.5924,2.184205294
XOVRIM,2.7787,2.200477716
DOXXUL,1.5338,0.901029582
IGEZUR,3.7985,2.35150103
TEGNUR,2.3845,1.323753363
XOVSOT,2.7882,2.184450196
SOBVAH,2.2147,1.232241398
PIHJOI,2.5522,1.328324879
CUYJOV,1.7518,0.987039401
IJICEL,2.0877,1.641664242
NUSZIM,3.8226,2.54361357
REMGAS,4.9061,3.830060092
VORLUK,3.2984,1.844879036
MUDXOY,1.7388,1.276051765
ZEZZUB,2.4232,0.961079717
UDUBAX,3.6707,2.327636625
CAMGAA,2.8062,1.907593168
XEDWIM,4.1573,2.792380261
SATQAG,3.8071,2.250111324
JITPEH,1.6585,0.619168377
WUPYEM,3.2195,1.725039996
WOQSEA,1.9108,1.284922684
SUYSOW,4.1704,3.106555014
SUVDUJ,4.2587,2.794883711
WATKIL,3.816,2.288914791
HOKGEW,1.71,1.220676549
KUJZOF,3.4154,2.393406598
KAPNIZ,4.0306,3.155244386
UNEXES,2.6701,2.06412135
YOZFUR,2.8587,2.026678453
DIWWEN,2.1884,0.873962395
ZIDCOE,4.3132,3.012574974
COYGEE,4.7618,3.21579249
YOFROB,4.013,2.566498364
YIHCID,2.0518,1.330692272
QOZHIX,3.6146,2.327663836
JECTEQ,3.7547,2.514470152
SODWOX10,3.6945,2.50342232
DOKJUK,2.4821,1.210472271
IJEMIV,2.4085,1.686318162
MENCIS,4.2643,3.182238103
WINRIU,2.5035,1.49403419
CINKOC,3.366,2.352344583
FEHRAM,4.2274,2.976955241
FIFNEN,4.1886,2.789931235
YAHCOZ,3.7991,2.525898943
FENYIG,2.7088,2.441957192
XEDWEI,3.7962,2.5300895
DUKFIB,1.6446,0.591279405
LEJDAH,2.0894,0.746381709
TUQKAS,2.4505,1.42397842
FAVPAT,2.3777,1.70370081
LEJDIP,2.159,0.766463728
TAXMEM,2.4031,1.366488879
RENSUA,2.432,0.746626611
ESUMIQ,1.8704,0.82758055
BUFJET,1.6382,0.539112414
LEJDEL,2.0966,0.800995004
BUCCEK,1.5938,1.487919787
ZOXRIN,5.2135,2.772524097
VARNUZ,3.999,2.669411909
DOKKAR,2.5567,1.33357396
IYUYIL,2.8536,1.701420494
TMAZPZ,1.9149,1.753538503
BUZKOW,1.8004,1.599268868
SURDOX01,2.6324,1.988348464
LAGXAS,1.9888,1.039747898
CANTRQ01,4.3057,3.324499344
DOWRUD,2.9556,2.277594846
VORMUL,2.7715,1.55505033
TCANTQ,4.0097,2.226219707
HONSIO,2.4295,1.181220008
BEJZEV,1.6985,0.834056865
PUWFIZ,2.3489,0.410184763
